code,name,state
120001,Acrelândia,AC
120005,Assis Brasil,AC
120010,Brasiléia,AC
120013,Bujari,AC
120017,Capixaba,AC
120020,Cruzeiro do Sul,AC
120025,Epitaciolândia,AC
120030,Feijó,AC
120032,Jordão,AC
120034,Manoel Urbano,AC
120035,Marechal Thaumaturgo,AC
120033,Mâncio Lima,AC
120038,Plácido de Castro,AC
120080,Porto Acre,AC
120039,Porto Walter,AC
120040,Rio Branco,AC
120042,Rodrigues Alves,AC
120043,Santa Rosa do Purus,AC
120050,Sena Madureira,AC
120045,Senador Guiomard,AC
120060,Tarauacá,AC
120070,Xapuri,AC
