MUNIC_RES,ANO,POPULACAO
110001,1992,    34768
110002,1992,    61737
110003,1992,     8633
110004,1992,    72462
110005,1992,    23280
110006,1992,    27830
110007,1992,    13317
110008,1992,    10617
110009,1992,    24630
110010,1992,    33783
110011,1992,    52287
110012,1992,   102481
110013,1992,    17202
110014,1992,    16317
110015,1992,    55496
110018,1992,    51784
110020,1992,   284576
110025,1992,    31981
110026,1992,     4830
110028,1992,    46703
110029,1992,    12848
110030,1992,    40249
110032,1992,    15050
110033,1992,     7041
110034,1992,    21774
110040,1992,     8060
110050,1992,    12119
110060,1992,     5589
110070,1992,     4577
110080,1992,     7711
110090,1992,     4647
110100,1992,     6981
110110,1992,     4755
110120,1992,     9592
110130,1992,    12403
110140,1992,     8161
110150,1992,     6230
110160,1992,     7138
110170,1992,    11560
110180,1992,     9540
120001,1992,     5688
120005,1992,     3017
120010,1992,    14353
120013,1992,     3294
120017,1992,     2367
120020,1992,    48901
120025,1992,     7570
120030,1992,    17591
120032,1992,     4203
120033,1992,     8046
120034,1992,     4629
120035,1992,     8258
120038,1992,    12856
120039,1992,     6593
120040,1992,   189743
120042,1992,     6800
120043,1992,      674
120045,1992,    15838
120050,1992,    24223
120060,1992,    23409
120070,1992,    10478
120080,1992,     9475
130002,1992,     8944
130006,1992,     4763
130008,1992,     6124
130010,1992,     8827
130014,1992,     5884
130020,1992,     8142
130030,1992,    17196
130040,1992,    11210
130050,1992,    16399
130060,1992,    19178
130063,1992,     7563
130068,1992,     7683
130070,1992,    25450
130080,1992,    16822
130083,1992,     7029
130090,1992,    12879
130100,1992,    19850
130110,1992,    33590
130115,1992,    18299
130120,1992,    38313
130130,1992,    13694
130140,1992,    21031
130150,1992,    16407
130160,1992,    16735
130165,1992,    11632
130170,1992,    39970
130180,1992,     9764
130185,1992,    19431
130190,1992,    59772
130195,1992,     9299
130200,1992,     5195
130210,1992,    11366
130220,1992,     4949
130230,1992,    15310
130240,1992,    34084
130250,1992,    58005
130255,1992,    10687
130260,1992,  1047232
130270,1992,    38403
130280,1992,    12053
130290,1992,    30946
130300,1992,    13153
130310,1992,    12939
130320,1992,    14721
130330,1992,    11894
130340,1992,    59691
130350,1992,    17876
130353,1992,     7522
130356,1992,     6717
130360,1992,    16167
130370,1992,    18221
130380,1992,    23501
130390,1992,    13940
130395,1992,     4779
130400,1992,     5617
130406,1992,    29466
130410,1992,    26203
130420,1992,    56991
130423,1992,    10297
130426,1992,     5494
130430,1992,    11994
130440,1992,    18559
140005,1992,    11918
140010,1992,   151439
140015,1992,     9915
140020,1992,     9277
140030,1992,    14068
140040,1992,    11488
140050,1992,    10890
140060,1992,     9754
150010,1992,   102399
150013,1992,     5326
150020,1992,    48378
150030,1992,    19637
150034,1992,     7255
150040,1992,    53600
150050,1992,    33475
150060,1992,   117390
150070,1992,    14494
150080,1992,    90542
150090,1992,    30810
150095,1992,    16921
150100,1992,    11178
150110,1992,    14225
150120,1992,    20400
150130,1992,    48854
150140,1992,  1273825
150150,1992,    63315
150157,1992,    14080
150160,1992,     8586
150170,1992,    97969
150172,1992,    16985
150175,1992,     6311
150178,1992,    14151
150180,1992,    73465
150190,1992,    14188
150200,1992,    13451
150210,1992,    85920
150220,1992,    52116
150230,1992,    46788
150240,1992,   105398
150250,1992,    17513
150260,1992,     8539
150270,1992,    56464
150275,1992,    15362
150276,1992,     6035
150277,1992,    28877
150280,1992,    15386
150290,1992,    20609
150293,1992,    46527
150295,1992,    12179
150300,1992,     3291
150307,1992,    20852
150309,1992,    15251
150310,1992,    19460
150320,1992,    27727
150330,1992,    42009
150340,1992,     6567
150345,1992,    13775
150350,1992,    31614
150360,1992,    98261
150370,1992,    74426
150375,1992,    10215
150380,1992,    31875
150390,1992,    23394
150400,1992,    16760
150405,1992,    29943
150410,1992,     7433
150420,1992,   132723
150430,1992,    26056
150440,1992,    20239
150445,1992,    27164
150450,1992,    14934
150460,1992,    19081
150470,1992,    41426
150480,1992,    47858
150490,1992,    22795
150495,1992,     6714
150500,1992,     9335
150503,1992,     5962
150506,1992,    29753
150510,1992,    42502
150520,1992,    19406
150530,1992,    41738
150540,1992,    13110
150543,1992,    24544
150548,1992,    32626
150549,1992,     5443
150550,1992,    81449
150553,1992,    49300
150555,1992,     4946
150560,1992,     5898
150570,1992,    16799
150580,1992,    29882
150590,1992,    15317
150600,1992,    27542
150610,1992,    17255
150613,1992,    54349
150616,1992,    28217
150618,1992,    41596
150619,1992,    20778
150620,1992,    23443
150630,1992,    12063
150635,1992,     9289
150640,1992,     4815
150650,1992,    34139
150655,1992,    19335
150658,1992,     7432
150660,1992,    18212
150670,1992,    16698
150680,1992,   271593
150690,1992,     4436
150700,1992,    17662
150710,1992,    21278
150715,1992,    14724
150720,1992,    20848
150730,1992,    26500
150740,1992,    11709
150745,1992,    40984
150747,1992,    16682
150750,1992,     5706
150760,1992,    33440
150770,1992,    15143
150780,1992,    33710
150790,1992,    17603
150795,1992,    18903
150796,1992,     5302
150797,1992,    10893
150800,1992,    65180
150805,1992,     9397
150808,1992,    33399
150810,1992,    56701
150812,1992,    16548
150815,1992,    55141
150820,1992,    38577
150830,1992,    56482
150835,1992,    14726
150840,1992,    50927
160005,1992,     1956
160010,1992,     6792
160015,1992,     1507
160020,1992,     5402
160021,1992,     1730
160023,1992,     2334
160025,1992,     1238
160027,1992,    21989
160030,1992,   173826
160040,1992,     9065
160050,1992,     7778
160053,1992,     5411
160055,1992,     1448
160060,1992,    53950
160070,1992,     4879
170025,1992,     1930
170035,1992,     6751
170040,1992,     7787
170070,1992,    10229
170100,1992,     8537
170105,1992,     2903
170110,1992,     3310
170130,1992,     2974
170190,1992,     4517
170200,1992,     9799
170210,1992,    92946
170215,1992,     2232
170220,1992,    22793
170230,1992,    10017
170240,1992,    11134
170255,1992,    10636
170270,1992,     4673
170290,1992,    10163
170300,1992,     9095
170310,1992,     6514
170320,1992,     4375
170330,1992,     2546
170360,1992,     1675
170370,1992,     6888
170380,1992,     7892
170382,1992,     1678
170384,1992,     3441
170386,1992,     2823
170388,1992,     1843
170389,1992,     1542
170390,1992,     2790
170410,1992,     1951
170550,1992,    21221
170555,1992,     4991
170560,1992,     4240
170600,1992,     5074
170610,1992,     8839
170650,1992,     3321
170700,1992,    13167
170710,1992,     6446
170720,1992,     7902
170730,1992,     4334
170740,1992,     5130
170755,1992,     4830
170765,1992,     5986
170770,1992,     7463
170820,1992,    17371
170825,1992,     1460
170830,1992,     5184
170900,1992,    14968
170930,1992,    19743
170950,1992,    56268
171050,1992,     7209
171070,1992,     6556
171090,1992,     2847
171110,1992,     3620
171150,1992,     2857
171180,1992,     1933
171190,1992,     2213
171195,1992,     2066
171200,1992,      782
171240,1992,     4230
171250,1992,     2376
171270,1992,     1210
171280,1992,     1967
171320,1992,    19979
171330,1992,    10839
171360,1992,     6603
171380,1992,     2879
171395,1992,     2834
171420,1992,    10413
171430,1992,     6134
171488,1992,     7524
171500,1992,     3097
171510,1992,     2478
171515,1992,     1887
171525,1992,     1573
171570,1992,     3521
171575,1992,     9477
171610,1992,    29789
171620,1992,    11086
171630,1992,     3820
171650,1992,     9268
171660,1992,     9373
171665,1992,     3260
171670,1992,     8683
171700,1992,     4925
171720,1992,     1177
171750,1992,     9016
171780,1992,     5191
171790,1992,     6156
171800,1992,     2114
171820,1992,    44648
