"SEQ";"NOME DO CAMPO";"TIPO E TAM";"DESCRIÇÃO"
"1";"PA_CODUNI";"CHAR (7)";"Código do CNES do Estabelecimento de Saude."
"2";"PA_GESTAO";"CHAR (6)";"Unidade de Federação + Código Município de Gestão ou UF0000 se a Unidade está sob Gestão Estadual"
"3";"PA_CONDIC";"CHAR (2)";"Sigla do Tipo de Gestão que o Estado ou Município está habilitado."
"4";"PA_UFMUN";"CHAR (6)";"Unidade da Federação + município do Estabelecimento"
"5";"PA_REGCT";"CHAR (4)";"Codigo da Regra Contratual"
"6";"PA_INCOUT";"CHAR (4)";"Incremento Outros"
"7";"PA_INCURG";"CHAR (4)";"Incremento Urgência"
"8";"PA_TPUPS";"CHAR (2)";"Tipo de do Establecimento."
"9";"PA_TIPPRE";"CHAR (2)";"Tipo de Prestador"
"10";"PA_MN_IND";"CHAR (1)";"Mantida / Individual"
"11";"PA_CNPJCPF";"CHAR (14)";"CNPJ do Estabelecimento executante"
"12";"PA_CNPJMNT";"CHAR (14)";"CNPJ da Mantenedora do Estabelecimento ou zeros caso não a tenha"
"13";"PA_CNP_CC";"CHAR (14)";"CNPJ do órgão que recebeu por cessão de crédito ou zeros caso não a tenha"
"14";"PA_DATPR";"CHAR (6)";"Data de Processamento/Movimento (AAAAMM)"
"15";"PA_DATREF";"CHAR (6)";"Data da realização do Procedimento / Competência (AAAAMM)"
"16";"PA_PROCID";"CHAR (10)";"Código de procedimento Ambulatorial"
"17";"PA_TPFIN";"CHAR (2)";"Tipo de Financiamento da produção"
"18";"PA_SUBFIN";"CHAR (4)";"Subtipo de Financiamento da produção"
"19";"PA_NIVCPL";"CHAR (1)";"Complexidade do Procedimento"
"20";"PA_DOCORIG";"CHAR (1)";"Documento de Registro: 'B' para BPA-C, 'A' para APAC, 'I' para BPA-I"
"21";"PA_AUTORIZ";"CHAR (13)";"Número da APAC / número de autorização do BPA-I (conforme o caso)"
"22";"PA_CNSMED";"CHAR (14)";"Número CNS do profissional de saúde executante"
"23";"PA_CBOCOD";"CHAR (6)";"Código de Ocupação Brasileira do Profissional de saúde executante"
"24";"PA_MOTSAI";"CHAR (2)";"Motivo de Saída ou zeros caso não tenha"
"25";"PA_CIDPRI";"CHAR (4)";"CID Principal (APAC ou BPA-I)"
"26";"PA_CIDSEC";"CHAR (4)";"CID Secundário (APAC ou BPA-I)"
"27";"PA_CIDCAS";"CHAR (4)";"CID Causas Associandas (APAC ou BPA-I)"
"28";"PA_IDADE";"CHAR (3)";"Idade em anos"
"29";"PA_SEXO";"CHAR (1)";"SEXO do Paciente"
"30";"PA_RACACOR";"CHAR (2)";"Raça/Cor do Paciente"
"31";"PA_MUNPCT";"CHAR (6)";"Unidade da Federação + município do município do paciente ou do estabelecimento, caso não se tenha à identificação do paciente o que ocorre no (BPA)"
"32";"PA_QTDPRO";"NUMERIC (8)";"Quantidade Produzida (APRESENTADA)"
"32";"PA_QTDAPR";"NUMERIC (8)";"Quantidade aprovada"
"33";"PA_CODOCO";"CHAR (1)";"Código de Ocorrência (S01=1,S02=2,...,S05=5)"
"34";"PA_INDICA";"CHAR (1)";"Indicativo de situação da produção produzida: 0 = não aprovado, 5 = aprovado total, 6 = aprovado parcial"
"35";"PA_VALPRO";"NUMERIC (20,2)";"Valor Produzido (APRESENTADO)"
"36";"PA_VALAPR";"NUMERIC (20,2)";"Valor Aprovado"
"37";"PA_UFDIF";"CHAR (1)";"Indica se a UF de residência do paciente é diferente da UF de localização do estabelecimento (N=não, S=sim)"
"38";"PA_MNDIF";"CHAR (1)";"Indica se o municipio de residência do paciente é diferente do municipio de localização do estabelecimento (N=não, S=sim)"
"39";"PA_DIF_VAL";"NUMERIC (20,2)";"Diferença de Valores de Valores Unitários praticados na Tabela Unificada com a Tabela de Valores praticados pelo Gestor da Produção multiplicado pela Quantidade Aprovada do procedimento."
"40";"NU_VPA_TOT";"NUMERIC (20,2)";"Valor Unitário Do Procedimento da Tabela VPA"
"41";"NU_PA_TOT";"NUMERIC (20,2)";"Valor Unitario Do Procedimento da Tabela SIGTAP"
